Nature du Format;nom_destination;indicatif;Valeur niveau Fraude
4;INDIA GSM VODAFONE;919051;A
4;POLAND OLO;48153003;A
4;UK PRS;4455;A
4;THAILAND GSM DTAC;6690695;A
4;BRAZIL GSM;55499;A
4;CYPRUS NORTH GSM;90548;B
4;FINLAND PRS;358800;A
4;SOUTH AFRICA PRS;27210450;C
4;INDIA GSM;9175468;A
4;SEANET MARITIME;88242;I
4;POLAND OLO;48295969;A
4;INDIA GSM RELIANCE;918595;A
4;MEXICO GSM ZONE3;521428;A
4;USA;1508;A
4;CHILE RUR;56452923;A
4;SWITZERLAND GSM SUN;417695;A
4;DOMINICAN REP GSM;1849350;A
4;BULGARIA OLO;3593799;A
4;INDIA CITIES;9124;A
4;INDIA GSM;9175649;A
4;SOUTH AFRICA PRS;27310063;C
4;LUXEMBOURG PRS;352800;B
4;UK GSM HI3G;447403;A
4;POLAND OLO;48146501;A
4;BOSNIA GSM BIH;3876033;C
4;INDIA GSM VODAFONE;917872;A
4;POLAND OLO;4832755;A
4;KAZAKHSTAN GSM;7702;B
4;DOMINICAN REP LOCAL OTHER;18094892;A
4;BRAZIL GSM;5521791;A
4;MEXICO GSM ZONE3;521954;A
4;GUINEA BISSAU GSM MTN;245966;E
4;INDIA GSM;9177858;A
4;INDIA GSM;9184770;A
4;TANZANIA GSM;25571;C
4;DOMINICAN REP GSM;1809641;A
4;POLAND OLO;4863255;A
4;CHILE RUR;5645235;A
4;BRAZIL GSM;5521692;A
4;PORTUGAL GSM MEO;35165925;A
4;INDIA GSM;9178349;A
4;POLAND OLO;48833577;A
4;BRAZIL GSM;55318;A
4;DENMARK GSM TELENOR;459219;A
4;INDIA GSM;9185939;A
4;INDIA GSM RELIANCE;917676;A
4;DOMINICAN REP GSM ORANGE;1829562;A
4;ARMENIA GSM VIVACELL;37449;B
4;NIGERIA GSM;234817;A
4;POLAND OLO;489181;A
4;CHILE RUR;5622593;A
4;POLAND OLO;48846413;A
4;USA;1703;A
4;DOMINICAN REP GSM ORANGE;1829988;A
4;MOROCCO GSM MEDITEL;212660;E
4;MEXICO GSM ZONE3;521784;A
4;SOUTH AFRICA PRS;2710001254;C
4;MOROCCO GSM IAM;212624;E
4;BOLIVIA RURAL;5913313;B
4;POLAND OLO;48413125;A
4;INDIA GSM;9185338;A
4;RUSSIA GSM MTS;79780;B
4;POLAND OLO;48483658;A
4;DOMINICAN REP LOCAL OTHER;180973532;A
4;INDIA GSM;9178108;A
4;INDIA GSM;9185259;A
4;BOLIVIA RURAL;59139629;B
4;POLAND OLO;481347;A
4;DOMINICAN REP GSM;1809758;A
4;CHILE RUR;5658197;A
4;REUNION GSM SRR;26269394;A
4;SOUTH AFRICA PRS;27561500;C
4;INDIA GSM;9175570;A
4;SOUTH AFRICA PRS;27324920;C
4;NETHERLANDS GSM LYCAMOBILE;31685;A
4;INDIA GSM;9182329;A
4;SOUTH AFRICA PRS;27458800;C
4;POLAND OLO;481661;A
4;DOMINICAN REP LOCAL OTHER;180973537;A
4;DENMARK GSM TDC;455250;A
4;SAT OTHERS;881;Z
4;INDIA GSM;9177228;A
4;INDIA GSM;918445;A
4;DOMINICAN REP GSM VIVA;1809305;A
4;INDIA GSM;9181330;A
4;BRAZIL GSM;55746;A
4;DOMINICAN REP LOCAL OTHER;18092417;A
4;SURINAME GSM;59789;C
4;POLAND OLO;4814888;A
4;BRAZIL GSM;55917;A
4;DENMARK GSM TELENOR;459265;A
4;DOMINICAN REP LOCAL OTHER;180924191;A
4;INDIA GSM;9175829;A
4;POLAND OLO;48423065;A
4;INDIA GSM;9172028;A
4;SOUTH AFRICA PRS;27100042;C
4;INDIA GSM VODAFONE;919609;A
4;INDIA GSM;9187340;A
4;DOMINICAN REP GSM VIVA;1809437;A
4;DENMARK GSM TELIA;45421;A
4;UK GSM O2;447925;A
4;POLAND OLO;481788;A
4;DOMINICAN REP LOCAL OTHER;18094839;A
4;DOMINICAN REP GSM;1809257;A
4;SOUTH AFRICA PRS;2739700;C
4;DOMINICAN REP LOCAL OTHER;18094712;A
4;BRAZIL GSM;551195037;A
4;BELIZE;501;B
4;BRAZIL GSM;55926;A
4;SPAIN GSM LYCAMOBILE;34631;A
4;KYRGYZSTAN GSM;996203;B
4;POLAND OLO;4822304;A
4;DOMINICAN REP GSM ORANGE;1829555;A
4;POLAND GSM ERA;48788;A
4;LITHUANIA PRS;37066911114;G
4;POLAND OLO;48614299;A
4;BRAZIL GSM;5521790;A
4;POLAND OLO;48483458;A
4;POLAND OLO;48321114;A
4;INDIA GSM;9175230;A
4;INDIA GSM;918853;A
4;DOMINICAN REP LOCAL OTHER;1809575;A
4;SENEGAL GSM ORANGE;22178;D
4;INDIA GSM;9182720;A
4;MEXICO ZONE2;52378;A
4;PORTUGAL GSM VODAFONE;3516391;A
4;TURKEY;90;A
4;BRAZIL GSM;5511512;A
4;DOMINICAN REP LOCAL OTHER;180947355;A
4;BULGARIA OLO;35969418;A
4;NETHERLANDS GSM;316;A
4;PUERTO RICO GSM;17873;A
4;UK GSM HI3G;447447;A
4;MAYOTTE GSM OTM;26263926;A
4;THAILAND GSM DTAC;6690682;A
4;BELGIUM PRS;32703;A
4;NETHERLANDS ANT GSM;5994167;B
4;INDIA GSM;917099052;A
4;GERMANY GSM VODAFONE;49172;A
4;LITHUANIA OLO;37031331;B
4;DOMINICAN REP GSM ORANGE;1829929;A
4;DOMINICAN REP LOCAL OTHER;180936871;A
4;MAURITANIA GSM CHINGUITEL;22222;C
4;TURKS & CAICOS GSM;1649345;B
4;INDIA GSM VODAFONE;919764;A
4;SPAIN GSM TELEFONICA;34608;A
4;CHILE RUR;562593;A
4;SOUTH AFRICA PRS;27312960;C
4;SWEDEN GSM TELIA;467191010;A
4;CHILE RUR;5622788;A
4;BOLIVIA RURAL;5913388;B
4;POLAND OLO;48585635;A
4;VANUATU;678;F
4;INDIA GSM;9178330;A
4;SWEDEN GSM COMVIQ;46734608;A
4;DOMINICAN REP LOCAL OTHER;180928737;A
4;MEXICO ZONE2;52241;A
4;USA;1509;A
4;MEXICO GSM ZONE2;521453;A
4;CHINA;86;A
4;MEXICO GSM ZONE3;521984;A
4;DOMINICAN REP GSM;1809270;A
4;BRAZIL OTHERS CITIES;55852;A
4;DOMINICAN REP LOCAL OTHER;180969560;A
4;DOMINICAN REP GSM;18096582;A
4;MEXICO ZONE2;52493;A
4;ESTONIA GSM TELE2;37255;A
4;DOMINICAN REP GSM;1809424;A
4;NETHERLANDS ANT GSM;5994164;B
4;RUSSIA GSM BEELINE;7902555;C
4;POLAND GSM PM4;4873911;A
4;MADAGASCAR GSM ORA;26132;F
4;INDIA GSM;9189450;A
4;DOMINICAN REP LOCAL OTHER;180973030;A
4;POLAND OLO;482964;A
4;RUSSIA GSM MEGAFON;792;C
4;SOUTH AFRICA PRS;27119668;C
4;DENMARK GSM HI3G;45538;A
4;MONGOLIA;976;A
4;USA;1206;A
4;NIGERIA GSM AIRTEL;234802;A
4;DOMINICAN REP GSM;180954293;A
4;DENMARK GSM TELENOR;454260;A
4;USA;1304;A
4;SOUTH AFRICA PRS;2713002;C
4;LITHUANIA GSM OMNI;370662;A
4;SWITZERLAND GSM SUN;417696;A
4;DOMINICAN REP GSM;1849453;A
4;INDIA GSM VODAFONE;919874;A
4;SEYCHELLES;248;F
4;DOMINICAN REP GSM ORANGE;1829890;A
4;THAILAND GSM DTAC;6690021;A
4;DOMINICAN REP GSM ORANGE;1829855;A
4;ZIMBABWE GSM NETONE;26371;C
4;REUNION GSM SRR;26269211;A
4;SAUDI ARAB GSM MOBIL;96656;B
4;INDIA GSM;9178400;A
4;BOSNIA GSM BIH;38760403;C
4;INDIA GSM;9175440;A
4;PORTUGAL GSM VODAFONE;35166921;A
4;DOMINICAN REP LOCAL OTHER;180936862;A
4;POLAND OLO;48683527;A
4;POLAND OLO;48716006;A
4;RUSSIA ZONE 2;7486;A
4;IRAN TEHERAN;9821;A
4;POLAND OLO;4834343;A
4;SWEDEN GSM HI3G;467600;A
4;DOMINICAN REP GSM;1809454;A
4;DENMARK;45;A
4;INDIA GSM;9184769;A
4;SOUTH AFRICA PRS;27510360;C
4;USA;1361;A
4;SWITZERLAND GSM;418607;B
4;POLAND OLO;482574;A
4;SOUTH AFRICA PRS;27101450;C
4;USA;1720;A
4;CHILE RUR;5645923;A
4;SOUTH AFRICA PRS;27571610;C
4;POLAND GSM PM4;4878021;A
4;POLAND GSM PM4;4869960;A
4;MEXICO GSM ZONE2;521231;A
4;NIGERIA GSM;234148;A
4;UK GSM HI3G;447588;A
4;POLAND OLO;48655278;A
4;BOTSWANA GSM ORANGE;267775;B
4;DOMINICAN REP LOCAL OTHER;180937285;A
